keys,ko,en
NOTIFY_ALL_UPGRADES_COMPLETE,"모든 업그레이드 완료","All upgrades complete"
UPGRADE_CATEGORY_PRIMARY,"주무기 개조","Primary Weapon Mods"
UPGRADE_CATEGORY_SECONDARY,"보조 무기 체계","Secondary Weapon Systems"
UPGRADE_CATEGORY_ELEMENT,"공격 속성 부여","Attack Elements"
UPGRADE_CATEGORY_CHASSIS,"차체 및 지원","Chassis & Support"
UPGRADE_CHANGE_UNLOCK,"새 행동","New behavior"
UPGRADE_CHANGE_ENHANCE,"행동 강화","Behavior upgrade"
UPGRADE_PIERCING_ROUNDS_TITLE,"관통 탄환","Piercing Rounds"
UPGRADE_PIERCING_ROUNDS_DESC,"탄환이 여러 적을 관통","Shots pierce enemies"
UPGRADE_SPLIT_MUZZLE_TITLE,"확산 총구","Split Muzzle"
UPGRADE_SPLIT_MUZZLE_DESC,"측면으로 탄환 발사","Fires extra side shots"
UPGRADE_HOMING_MISSILES_TITLE,"추적 미사일","Homing Missiles"
UPGRADE_HOMING_MISSILES_DESC,"여러 적을 자동 추적","Tracks separate targets"
SETTINGS_REDUCED_MOTION,"모션 감소","Reduced motion"
UPGRADE_SELECT_DETAIL,"모듈을 선택하십시오.","Select one module."
UPGRADE_CARD_LEVEL,"모듈 단계","Module Level"
UPGRADE_CARD_LEVEL_VALUE,"Lv.%level%","Lv.%level%"
UPGRADE_EQUIP,"모듈 장착","Equip Module"
UPGRADE_MANDATORY_NOTICE,"진행하려면 모듈을 선택해야 합니다.","You must select a module to proceed."
UPGRADE_ELEMENT_STACK_NOTICE,"공격 속성은 하나만 선택할 수 있습니다.","Only one attack element can be selected."
UPGRADE_APPLY_FAILED,"모듈 장착 실패. 다시 시도하십시오.","Failed to equip module. Please try again."
DEPLOY_PULSE_CANNON_SUMMARY,"중립형 펄스 캐논\n누르고 있으면 같은 위력으로 연속 발사 · 화면 안의 표적까지 사거리 유지\n빌드 정체성은 맵의 업그레이드에서 결정됩니다.","Neutral Pulse Cannon\nHold to fire uniform rounds · range reaches targets across the visible field\nMap upgrades define this run's build."
UPGRADE_CRYO_SLOW_TITLE,"냉기 부여","Cryo Slow"
UPGRADE_CRYO_SLOW_DESC,"적을 냉각해 움직임 둔화","Slows enemies with chill"
UPGRADE_CRYO_SLOW_ENHANCE_DESC,"감속·지속 증가","Stronger, longer chill"
UPGRADE_THERMAL_BURST_TITLE,"열폭발","Thermal Burst"
UPGRADE_THERMAL_BURST_DESC,"명중 시 주변 피해","Hits damage nearby foes"
UPGRADE_THERMAL_BURST_ENHANCE_DESC,"폭발 피해·범위 증가","Stronger, wider burst"
UPGRADE_BIO_TOXIN_TITLE,"독 부여","Bio Toxin"
UPGRADE_BIO_TOXIN_DESC,"적을 중독시켜 지속 피해","Poisons foes over time"
UPGRADE_BIO_TOXIN_ENHANCE_DESC,"중독 피해·지속 증가","Stronger, longer toxin"
UPGRADE_PICKUP_RADIUS_TITLE,"수거 범위","Pickup Radius"
UPGRADE_PICKUP_RADIUS_DESC,"주변 경험치를 끌어당김","Pulls nearby experience"
UPGRADE_HULL_INTEGRITY_TITLE,"장갑 내구도","Hull Integrity"
UPGRADE_HULL_INTEGRITY_DESC,"최대 내구도 늘리며 회복","Expands hull and heals"
UPGRADE_LIFESTEAL_TITLE,"흡혈","Lifesteal"
UPGRADE_LIFESTEAL_DESC,"피해를 주면 선체 회복","Deal damage to heal Hull"
UPGRADE_CHASSIS_SPEED_TITLE,"주행 속도","Movement Speed"
UPGRADE_CHASSIS_SPEED_DESC,"차량 이동 속도 향상","Boosts vehicle speed"
UPGRADE_STAT_PICKUP_RADIUS_BONUS,"경험치 수거 범위","EXP Pickup Radius"
UPGRADE_STAT_MAX_HEALTH_BONUS,"최대 차체 내구도","Max Hull Integrity"
UPGRADE_STAT_MOVE_SPEED_MULTIPLIER,"이동 속도","Movement Speed"
UPGRADE_STAT_LIFESTEAL_PERCENT,"피해 회복률","Lifesteal Rate"
UPGRADE_STAT_THERMAL_BURST_RADIUS,"효과 범위","Effect radius"
UPGRADE_STAT_THERMAL_BURST_DAMAGE,"폭발 피해","Burst damage"
UPGRADE_STAT_TOXIN_DPS_PER_STACK,"중독 피해/중첩","Toxin damage/stack"
UPGRADE_STAT_TOXIN_DURATION,"지속 시간","Duration"
UPGRADE_STAT_CRYO_SLOW_PER_STACK,"감속/중첩","Slow/stack"
UPGRADE_STAT_CRYO_DURATION,"지속 시간","Duration"
UPGRADE_EFFECT_PROJECTILES_PER_VOLLEY,"발사당 투사체","Projectiles per volley"
UPGRADE_EFFECT_TOTAL_VOLLEY_DAMAGE,"일제 총 피해","Total volley damage"
UPGRADE_EFFECT_ADDITIONAL_PENETRATIONS,"추가 관통","Additional penetrations"
UPGRADE_EFFECT_MISSILES_PER_VOLLEY,"발사당 미사일","Missiles per volley"
UPGRADE_EFFECT_DAMAGE_PER_MISSILE,"미사일당 피해","Damage per missile"
UPGRADE_EFFECT_DPS,"초당 피해","DPS"
UPGRADE_EFFECT_RADIUS,"반지름","Radius"
UPGRADE_EFFECT_BLADE_COUNT,"날개 수","Blade count"
UPGRADE_EFFECT_DAMAGE_PER_BLADE,"날개당 피해","Damage per blade"
UPGRADE_EFFECT_DAMAGE,"피해","Damage"
UPGRADE_EFFECT_DEPLOYMENT_INTERVAL,"투하 간격","Deployment interval"
ENEMY_RAMMER,"충각기","Rammer"
ENEMY_BULKHEAD_GUARD,"격벽 수호기","Bulkhead Guard"
ENEMY_SPLITTER_BARGE,"분열 바지선","Splitter Barge"
ELITE_ARMORED,"장갑 정예","Armored Elite"
ELITE_OVERCLOCKED,"과부하 정예","Overclocked Elite"
ELITE_HEAVY,"중장 정예","Heavy Elite"
PATTERN_FURNACE_GATES,"용광로 관문","Furnace Gates"
PATTERN_FOUNDRY_BURST,"주조장 포화","Foundry Burst"
PATTERN_SLAG_RING,"슬래그 고리","Slag Ring"
PATTERN_FORGE_VENT,"제련 환기구","Forge Vent"
PATTERN_ARCHIVE_LUNGE,"기록고 돌진","Archive Lunge"
PATTERN_ARCHIVE_CROSS,"기록고 교차탄","Archive Cross"
PATTERN_ARCHIVE_DEPTH,"심도 폭발","Archive Depth"
PATTERN_UNDERTOW_LANES,"역류 항로","Undertow Lanes"
PATTERN_DEPTH_CHARGES,"고정 심도탄","Depth Charges"
PATTERN_GROUNDING_GRID,"접지 격자","Grounding Grid"
PATTERN_TITAN_PULSE,"타이탄 펄스","Titan Pulse"
PATTERN_TITAN_BURST,"타이탄 포화","Titan Burst"
PATTERN_TITAN_RAM,"타이탄 충각","Titan Ram"
PATTERN_THUNDER_CHAIN,"연쇄 낙뢰","Thunder Chain"
PATTERN_BEAM_SENTINEL_CALL,"빔 감시기 호출","Beam Sentinel Call"
PATTERN_BREAKER_CHARGE,"차단기 돌진","Breaker Charge"
PATTERN_SWITCHYARD_MINES,"교환장 지뢰","Switchyard Mines"
PATTERN_SWITCH_SWEEPS,"교환장 휩쓸기","Switch Sweeps"
PATTERN_CROWN_BURST,"왕관 포화","Crown Burst"
PATTERN_CROWN_LATTICE,"왕관 격자","Crown Lattice"
PATTERN_RELAY_PULSE_RINGS,"중계 펄스 고리","Relay Pulse Rings"
PATTERN_PHASE_TRANSITION,"다음 단계 전환","Phase Transition"
ENEMY_REPAIR_TENDER,"수리 지원기","Repair Tender"
ENEMY_DRONE_CARRIER,"드론 모함","Drone Carrier"
ENEMY_BEAM_SENTINEL,"광선 파수기","Beam Sentinel"
STAGE_DROWNED_RUINS_1,"침수 유적 · 1구역","Drowned Ruins · Sector 1"
STAGE_DROWNED_RUINS_2,"침수 유적 · 2구역","Drowned Ruins · Sector 2"
STAGE_DROWNED_RUINS_3,"침수 유적 · 3구역","Drowned Ruins · Sector 3"
STAGE_DROWNED_RUINS_4,"침수 유적 · 4구역","Drowned Ruins · Sector 4"
STAGE_DROWNED_RUINS_5,"침수 유적 · 심층","Drowned Ruins · Depths"
STAGE_TIDAL_ARCHIVE_1,"조수 기록고 · 1구역","Tidal Archive · Sector 1"
STAGE_TIDAL_ARCHIVE_2,"조수 기록고 · 2구역","Tidal Archive · Sector 2"
STAGE_TIDAL_ARCHIVE_3,"조수 기록고 · 3구역","Tidal Archive · Sector 3"
STAGE_TIDAL_ARCHIVE_4,"조수 기록고 · 4구역","Tidal Archive · Sector 4"
STAGE_TIDAL_ARCHIVE_5,"조수 기록고 · 심층","Tidal Archive · Depths"
STAGE_STORM_DRYDOCK_1,"폭풍 건선거 · 1구역","Storm Drydock · Sector 1"
STAGE_STORM_DRYDOCK_2,"폭풍 건선거 · 2구역","Storm Drydock · Sector 2"
STAGE_STORM_DRYDOCK_3,"폭풍 건선거 · 3구역","Storm Drydock · Sector 3"
STAGE_STORM_DRYDOCK_4,"폭풍 건선거 · 4구역","Storm Drydock · Sector 4"
STAGE_STORM_DRYDOCK_5,"폭풍 건선거 · 심층","Storm Drydock · Depths"
NOTIFY_BOSS_INBOUND,"강력한 적 접근 · 도착 지점 표시","Major threat inbound · arrival marked"
SECONDARY_HOMING_MISSILES_NAME,"추적 미사일","Homing Missiles"
SECONDARY_HOMING_MISSILES_DESC,"시야 안의 우선 표적을 자동으로 추적합니다.","Automatically tracks priority targets in line of sight."
SECONDARY_ELECTRIC_FIELD_NAME,"전기장","Electric Field"
SECONDARY_ELECTRIC_FIELD_DESC,"차체 주변의 가까운 적에게 지속 피해를 줍니다.","Continuously damages enemies close to the vehicle."
SECONDARY_ORBITING_BLADES_NAME,"회전 날개","Orbiting Blades"
SECONDARY_ORBITING_BLADES_DESC,"차체 주위를 도는 날개가 접촉한 적에게 피해를 줍니다.","Orbiting blades damage enemies on contact."
SECONDARY_DROP_MINES_NAME,"후방 기뢰","Drop Mines"
SECONDARY_DROP_MINES_DESC,"차량이 지나간 경로 뒤에 제한된 수의 기뢰를 투하합니다.","Drops a bounded set of mines behind the vehicle's movement path."
UPGRADE_ELECTRIC_FIELD_TITLE,"전기장","Electric Field"
UPGRADE_ELECTRIC_FIELD_DESC,"주변 적에게 전기 피해","Shocks nearby enemies"
UPGRADE_ORBITING_BLADES_TITLE,"회전 날개","Orbiting Blades"
UPGRADE_ORBITING_BLADES_DESC,"회전하는 날개로 적 타격","Orbiting blades hit foes"
UPGRADE_DROP_MINES_TITLE,"후방 기뢰","Drop Mines"
UPGRADE_DROP_MINES_DESC,"이동 경로에 기뢰 투하","Drops mines along path"
GUIDE_TITLE,"가이드북","Guidebook"
GUIDE_CURRENT_SHIP,"현재 기체","Current Ship"
GUIDE_CATEGORY_SHIP,"현재 기체","Current Ship"
GUIDE_CATEGORY_ENEMIES,"적","Enemies"
GUIDE_CATEGORY_BOSSES,"보스","Bosses"
GUIDE_CATEGORY_OBJECTS,"필드 오브젝트","Field Objects"
GUIDE_OBJECT_EXPERIENCE_NAME,"경험치 원석","Experience Shard"
GUIDE_OBJECT_REPAIR_NAME,"수리 캡슐","Repair Pickup"
GUIDE_OBJECT_RECALL_NAME,"회수 신호기","Experience Recall"
GUIDE_OBJECT_CRATE_NAME,"보급 상자","Supply Crate"
GUIDE_OBJECT_MYSTERY_DEVICE_NAME,"변칙 장치","Anomaly Device"
GUIDE_LOCKED_SUMMARY,"미발견 항목 %d개","%d undiscovered"
GUIDE_STAT_HEALTH,"체력","Health"
GUIDE_STAT_ATTACK_DAMAGE,"공격 피해","Attack damage"
GUIDE_STAT_SPEED,"이동 속도","Move speed"
GUIDE_STAT_PROTECTION,"방어","Protection"
GUIDE_STAT_SUPPORT,"지원 효과","Support effect"
GUIDE_STAT_CADENCE,"공격 주기","Attack cadence"
GUIDE_STAT_SIZE,"크기","Size"
GUIDE_STAT_BOSS_SHIELD,"방어막 감소","Shield reduction"
GUIDE_STAT_EXPOSED,"노출 시간","Exposed window"
GUIDE_STAT_AUTONOMOUS_CADENCE,"자율 공격 간격","Autonomous interval"
GUIDE_STAT_MAX_COVERAGE,"최대 범위","Largest footprint"
GUIDE_STAT_EFFECT,"효과","Effect"
GUIDE_STAT_DROP,"드롭","Drop"
GUIDE_STAT_ACTIVATION,"작동 시간","Activation"
GUIDE_STAT_COOLDOWN,"재사용","Cooldown"
GUIDE_VALUE_HP,"%d HP","%d HP"
GUIDE_VALUE_HP_RANGE,"%d–%d HP · 1–5단계","%d–%d HP · Stages 1–5"
GUIDE_VALUE_DAMAGE,"%.1f 피해","%.1f damage"
GUIDE_VALUE_DAMAGE_WITH_RANGE,"%.1f 피해 · 사거리 %d px","%.1f damage · %d px range"
GUIDE_VALUE_DAMAGE_RANGE,"%.1f–%.1f 피해","%.1f–%.1f damage"
GUIDE_VALUE_DAMAGE_STAGE_RANGE_WITH_RANGE,"%.1f–%.1f 피해 · 사거리 %d px · 1–5단계","%.1f–%.1f damage · %d px range · Stages 1–5"
GUIDE_VALUE_SPEED,"%d px/s","%d px/s"
GUIDE_VALUE_SPEED_RANGE,"%d–%d px/s · 1–5단계","%d–%d px/s · Stages 1–5"
GUIDE_VALUE_STATIONARY,"고정","Stationary"
GUIDE_VALUE_FRONT_PLATE,"전면 구조판 %d","%d front structure"
GUIDE_VALUE_ARMOR_SHELL,"보호 구조 %d","%d protective structure"
GUIDE_VALUE_PERCENT_UP,"+%d%%","+%d%%"
GUIDE_VALUE_PERCENT_DOWN,"-%d%%","-%d%%"
GUIDE_VALUE_COOLDOWN_DOWN,"재사용 -%d%%","Cooldown -%d%%"
GUIDE_VALUE_DAMAGE_REDUCTION,"받는 피해 -%d%%","Received damage -%d%%"
GUIDE_VALUE_SECONDS,"%.1f초","%.1f s"
GUIDE_VALUE_SECONDS_RANGE,"%.1f–%.1f초","%.1f–%.1f s"
GUIDE_VALUE_RADIUS,"반경 %d px","%d px radius"
GUIDE_VALUE_SHIELD_SUPPORT,"1기 보호 · 피해 -%d%% · %d px","Protects 1 · damage -%d%% · %d px"
GUIDE_VALUE_REPAIR_SUPPORT,"초당 %d HP · %d px","%d HP/s · %d px"
GUIDE_VALUE_GENERATOR_SUPPORT,"틱당 %d HP · %d px 보호","%d HP/tick · shields within %d px"
GUIDE_VALUE_CARRIER_SUPPORT,"드론 최대 %d기 전개","Deploys up to %d drones"
GUIDE_VALUE_SUPPORT,"지원","Support"
GUIDE_VALUE_EXPERIENCE,"접촉 시 경험치 획득","Grants experience on contact"
GUIDE_VALUE_REPAIR,"내구도 %d–%d 회복","Restores %d–%d hull"
GUIDE_VALUE_RECALL,"필드의 경험치 원석 회수","Recalls field experience shards"
GUIDE_VALUE_CRATE_DROP,"수리 캡슐 또는 회수 신호기","Repair pickup or experience recall"
GUIDE_VALUE_ANOMALY_OUTCOMES,"파괴 시 %d개 효과 중 하나 발동","Triggers 1 of %d effects when destroyed"
NOTIFY_MYSTERY_DEVICE_REVEALED,"변칙 장치 분석 · %s","ANOMALY DEVICE ANALYZED · %s"
NOTIFY_MYSTERY_DEVICE_TRIGGERED,"변칙 장치 · %s · %d기 영향","ANOMALY DEVICE · %s · %d AFFECTED"
MYSTERY_OUTCOME_GRAVITY_PULL,"중력 견인","Gravity Pull"
MYSTERY_OUTCOME_CRYO_LOCK,"급속 냉각","Cryo Lock"
MYSTERY_OUTCOME_PROJECTILE_PURGE,"탄막 소거","Projectile Purge"
MYSTERY_OUTCOME_DECOY_SIGNAL,"유인 신호","Decoy Signal"
SHIP_STATUS_TAB,"기체 상태","Ship Status"
SHIP_STATUS_HEADING,"현재 기체","Current Ship"
SHIP_STATUS_EMPTY,"진행 중인 작전이 없습니다. 작전 중 일시정지 메뉴에서 현재 기체 상태를 확인할 수 있습니다.","No run is active. Open Settings from Pause to inspect the current ship."
SHIP_STATUS_SECONDARIES,"보조 무기","Secondary Weapons"
SHIP_STATUS_UPGRADES,"획득한 업그레이드","Acquired Upgrades"
SHIP_STATUS_NONE,"없음","None"
SHIP_STATUS_LEVEL,"Lv.%d","Lv.%d"
SHIP_STATUS_LEVEL_MAX,"Lv.%level% / %max%","Lv.%level% / %max%"
SHIP_STATUS_SUMMARY_LEVEL,"레벨 %level%","Level %level%"
SHIP_STATUS_SUMMARY_HULL,"내구도 %current% / %max%","Hull %current% / %max%"
SHIP_STATUS_SUMMARY_XP,"경험치 %current% / %required%","XP %current% / %required%"
SHIP_STATUS_SUMMARY_XP_MAX,"경험치 MAX","XP MAX"
SHIP_STATUS_GROUP_MOBILITY,"기체 · 기동","Hull · Mobility"
SHIP_STATUS_GROUP_PRIMARY,"주무기","Primary"
SHIP_STATUS_GROUP_EMP,"EMP","EMP"
SHIP_STAT_HULL,"최대 내구도","Maximum hull"
SHIP_STAT_SPEED,"이동 속도","Move speed"
